Schlagwort;Idee;Problem;Lösung
Digitalisierung;Videoberatung und Chatbots in der Verwaltung (und darüber hinaus);"Beratungstermine in der Stadtverwaltung sind in der Regel mit einem ""Vorsprechen"" verbunden (d.h. wir müssen in die Rathäuser). Oftmals ist die Beratung nach einem Gespräch nicht beendet und es sind weitere Unterlagen nachzureichen. Das kostet Zeit im doppelten Sinne: Zeit für den Bürger*in und Zeit für die Verwaltung.";"Erstberatungen und einfache Informationen werden über Videoberatungstools oder Chatbots bewerkstelligt. Damit ist eine schnelle Erstinformation möglich und die Bürgerin und der Bürger sparen Zeit. Für spezielle Fragestellungen (oder unterschriftsnotwendige Unterlagen) kann der vor Ort Termin beibehalten werden.
Sachbearbeiter*innen in der Verwaltung könnten eine Videoberatungsstunde (pro Tag) einrichten für einfache und schnelle Fragen."
Digitalisierung;KI-Einsatz in der öffentlichen Verwaltung;Intelligente Technologien von Big Data bis künstlicher M3-Technologie (empfindungssensitive KI) werden nicht auf Vorgänge der öffentlichen Verwaltung angewendet. ;Wie in dem beigefügten Auszug einer Studie des Frauenhofer IAOs bei der ich mitwirken durfte, werden verschiedene Anwendungsfelder beschrieben. 
Verwaltung;Kreativitätsräume für Interdisziplinäre Teams schaffen;Häufig wir die Teamzusammensetzung für neuartige Themen nicht ganzheitlich gedacht, sodass Diskussionen über Projekte und Maßnahmen einseitig fokussiert werden und Entscheidungen nicht optimal getroffen werden können. ;Um die Einbindung der Zivilgesellschaft und Akteure der Wirtschaft sinnvoll in die Smart City Diskussion einzubinden, können intelligente (virtuelle, aber auch Präsenz)räume über verschiedene Stärken und Schwächen der Teamzusammensetzung (z.B. Fachliche, methodische Kompetenz, Erfahrungswissen, Kreativitätspotential etc.) hin einen Indikator für Projekt/Maßnahmen-erfolg im Feld Smart City ermitteln 
Digitalisierung;" Aufbau von geobasierten Digitalen Zwillingen - SDDI-Modellregionen
";Um die Nachhaltigkeit in der Stadt, der Bauaktivität und der Energieversorgung sowie Verbrauch von Gütern in den privaten Haushalten sicherzustellen bedarf es einer gemeinsamen Übersicht mit Messdaten, wie Stark Umwelteinflüsse hieraus entstehen.;In den SDDI-Modellregionen in Bayern werden einerseits erprobte Open-Source Technologien eingesetzt, um eine standardisierte, offene Dateninfrastruktur kostengünstig aufzubauen. Dh. Daten entstehen aus verschiedensten Bereichen, wie Energie, Mobilität, Wasser, Last Mile Logistik, Wirtschaft, etc. durch Sensoren z.B. die Luftqualität oder unsere Bewegungungen in der Stadt. Durch das offene Projekt des Zentrum Digitalisierung Bayern werden alle diese Geräte, Sensoren, Aktoren generieren in zunehmendem Maße für gemeinützige Zwecke auswertbar.
Mobilität;Mobilität mit öffentlichen Fahrzeugen;Tagsüber klappt das ganz gut für viele orte und Ziele in und um Bamberg. Wer auch abends ausgehen oder heimkehren möchte, verzichtet ungern auf den eigenen PKW.;Tagsüber klappt das ganz gut für viele orte und Ziele in und um Bamberg. Wer auch abends ausgehen oder heimkehren möchte, verzichtet ungern auf den eigenen PKW.
Digitalisierung;Orte des Erinnerns und Verweilens;"Das Wissen über Orte, über die Geschichte der Orte, von Baudenkmälern, die ""Geschichte"" hinter den Geschichten, historische Dokumente / Fotos / Zeichnungen zu Plätzen und Gebäuden sind nicht nur spannende und wichtige Informationen, sie können auch zur Verbesserung der Identität mit unserer Stadt beitragen. Bisher verlieren wir dieses ""softe"" Wissen aber, weil wir es nicht koordiniert sammeln, archivieren, aufbereiten und genügend publik machen. ";"App, die diese Geschichten und Materialien erfasst; zusammen mit einer Standortbeschreibung, GPS-Koordinaten und links zu weiteren Materialen. "
Digitalisierung;Mobilitäts-App;Mit dem Auto kommen wir maximal in einen Stau, zu Fuß können wir Umwege einfach bewältigen, aber mit einem Lastenfahrrad, mit Kindern im Gepäck oder mit einem Rollstuhl werden Hindernisse, Umleitungen oder gefährliche Fahrbahnveränderungen schnell zum unkalkulierbaren Risiko oder führen in echte Einbahnstraßen. ;App mit der man mittels GPS-Koordinaten schnell Fotos und Informationen einfügen kann wo man Probleme oder Gefahren sieht. Einfache handhabung mit wenigens Klicks, wobei Mobilitätsprofile schnell gewählt werden können. 
Digitalisierung;Regional-App;Wir würden oft gerne regional oder lokal einkaufen, wissen aber nicht wo ich was wie und wann erhalte.;Angebote werden gemeldet und haben bestimmte automatische Ablaufzeit / oder können explizit rausgenommen werden, wenn sie nicht mehr vorhanden sind. 
Verwaltung;Hackathons für Bamberg;In Bamberg gibt es ein riesiges Potential von kreativen Menschen, die Probleme gemeinsam angehen könnten. Der gerade absolvierte Hackathon zu COVID-19 zeigt eindrucksvoll, wie solch ein Großereignis eine große Anzahl von kreativen Ideen und direkt auch Lösungsvorschläge entwickeln kann. Spezifisch für lokale oder regionale Aspekte gibt es hierzu wesentlich weniger Aktivitäten und damit ungenutztes kreatives Potential in Hülle und Fülle. ;Konsequente Unterstützung und Förderung solcher Hackathons, die speziell Herausforderungen und Probleme der Stadt Bamberg zum Thema machen. 
Digitalisierung;Stadt-Smartmetering. Nachatligkeit Dashboard am Beispiel Mobilität und Energie;"Bamberg soll durch Digitalisierung nachhaltiger werden.

Es besteht das Risiko, ganz viele ""gute"" Maßnahmen Einzuführen, und nach mehreren Jahren doch festzustellen, das unsere Lebensweise noch weniger Nachhaltiger wurde.

Beispiel: nachhaltigere Mobilität durch digitales Parkleitsystem. Aber immer mehr Autos pro Einwohner*in, immer schwerer Autos führen zu einer höheren Verkehrsbelastung in der Stadt. Und zu einem insgesamt höheren Ressourcenverbrauch. ";"Um die tatsächliche Entwicklung zur mehr Nachhaltigkeit sollen müssen Indikatoren kontinuierlich gemessen und kommuniziert werden und somit Bürger*innen und Organisationen ermöglichen, Ihren Handel besser zu verstehen und nachhaltiger zu steuern.

Es sollen Indikatoren definiert werden und wöchentlich aktualisiert und veröffentlicht werden.
Der Trend über die letzten Jahren soll erkennbar werden.

Beispiel Mobilität.
- Anzahl gemeldete PKW in Bamberg und Landkreis
- Durchschnittliches Gewicht gemeldeten PKW in Bamberg und Landkreis (Wöchentlich / Gesamt)
- Anteil E-Autos, Hybrid, weitere Antriebstechnik
- Gefahrene Buskilometer (ÖPNV)
- Gefahrene Kilometer mit Elektroroller, CarSharing, Bike Sharing usw.
- Sharing Mobilitätslösungen im Relation zur Stadtbeölkerung.

Beispiel Energie
- Verkaufte Diesel / Sprit
- Stromverbrauch und Tatäschlicher Mix (EEG, Erneuerbar nicht EEG, usw.) Nach Möglichkeit Unterscheidung Privat / Gewerblich
- Verkaufte Mengen Heizöl / Gas / Weitere Wärmeenergieträger
- Stromerzeugung (BHKW / Solar / Wind / Wasser)

Diese Beispiele sind als Denkansatz gedacht, andere Bereiche (Ernährung, Wohnen, Konsum, Abfallwirtschaft) sollen sichtbar machen, wie Nachhaltig (Erneuerbar, Resourcenschonend, Gesund, Regional, Fair usw.) das Leben in Bamberg tatsächlich ist. "
Verwaltung;Kartierung der Strahlungsbelastung;"Derzeit gibt es keine Übersicht wie stark die Strahlenbelastung durch 2G, 3G, 4G und 5G sowie WLAN und Lorawan-Netze ist. Das kann dazu führen, dass die Belastung die Maximalwerte des Bundesamtes für Strahlenschutz übersteigt (elektrische Feldstärke in Volt pro Meter,siehe https://www.bfs.de/DE/themen/emf/mobilfu...;jsessionid=573E15613CA5B4547ABB79314CECCCD9.2_cid349)";Bisher war es auch kaum möglich diese Belastung zu messen, weil sie sich dynamisch ändert. Durch das Smart City Projekt wäre es möglich eine kontinuierliche Messung durchzuführen und Mittelwerte zu berechnen. Die Messdaten kann man einfach in einer Kartendarstellung allen Bürgern zur Verfügung stellen
Ehrenamt;Helfen statt Zocken - digitales Ehrenamt fördern;Helfen statt Zocken - digitales Ehrenamt fördern;"Erstens sollte das Engagement der digitalen Helfer auch über die Grenzen des eigenen Projektes oder Vereins sichtbar gemacht werden. Es geht hier nicht um Geld, sondern um Anerkennung - genau wir im ""normalen"" Ehrenamt. Zweitens sollte man transparent machen wo überhaupt digitale Hilfe benötigt wird"
Verwaltung;Sondermüll soll auch im Stadtgebiet abgegeben werden können;;
Stadtgestaltung;Mehr Angebote für die Sparte 25-35 Jahre;;
Mobilität;Nachtverkehr für Pendler ausweitern;;
Mobilität;Kleinbusser für gehbehinderte Menschen;;
Verwaltung;smarte Lösung für GEZ;Eine smarte Lösung für GEZ Gebühren in WGs finden (scheinbar müssen Bafög-Berechtigte keine GEZ zahlen, was ein faires Kostensharing innerhalb von WGs sehr erschwert);
Mobilität;kostengünstige Schüler- und Studententickets ;;kostengünstige Schüler- und Studententickets anbieten, die für das gesamte VGN-Gebiet gelten (nicht nur innerhalb von Bamberg)
Verwaltung;Eine Neuentwicklung des Webkita-Portals;Eine Neuentwicklung des Webkita-Portals, das (soweit ich höre) Eltern und Einrichtungen gleichermaßen schlecht und nutzlos finden;
Verwaltung;die Kinderbetreuungsmöglichkeiten für alle Altersgruppen;die Kinderbetreuungsmöglichkeiten in Bamberg müssen für alle Altersgruppen ausgebaut und vor allem die Vergabe von Plätzen offener, gerechter und transparenter geregelt werden ;
Verwaltung;Tranparenz bei Verwaltungsentscheidungen ;Verwaltungsentscheidungen (hier ging es insbesondere um schulische Themen) anders, besser, transparenter darstellen und erläutern - betroffene Familien werden nicht oder nur sehr unzureichend eingebunden.;
Digitalisierung;eine Anwendung, um Trainingspartner und -plätze zu matchen;;eine Anwendung, um die Bereiche Sport, öffentliche Sportplätze und Trainingspartner zu matchen (Sportler können sich online verabreden und bestimmte Slots buchen)
Stadtgestaltung;Die Förderung der Bamberger Bier- und Brauereikultur ;Die Förderung und Unterstützung der Bamberger Bier- und Brauereikultur speziell für Einheimische (Bamberger Bierpass???) ;
Stadtgestaltung;Smarte Solarbänke im öffentlichen Raum;"Bisher werden Bänke im öffentlichen Raum nur zum Sitzen genutzt - sie erfüllen keine weitere Funktion.
Gleichzeitig mangelt es unterwegs oft an Möglichkeiten sein Handy zu laden oder immer öfter auch an Lademöglichkeiten für E-Bikes o.ä. ";"Zukünftig sollen statt ""normaler"" Sitzbänke Solarsitzbänke mit Multi-Ladefunktion aufgestellt werden. Diese wetterfesten Bänke produzieren über integrierte Solarpanels ausreichend Energie für Beleuchtung, Handy-Ladefunktion (per USB oder nochbesser Qi Ladeflächen zum kabellosen Laden), WLAN Hotspot und auch für E-Bike und E-Scooter bietet die smarte Bank Lademöglichkeiten, während der Nutzer zu einer kurzen Verweilpause eingeladen ist."
Stadtgestaltung;Zusammenrücken;Veranstaltungen fallen aus, Künstler haben keine Bühnen mehr und können nicht auftreten, kleine Betriebe sind geschlossen und damit besonders hart getroffen, es werden viele spannende Initiativen gegründet und es fehlt an reichweit ;Eine öffentliche, regionale (Bamberg) Videokonferenz in der sich jeweils ein Künstler, eine Initiative und ein kleiner Betrieb/Kneipe vorstellen können. Du bist als Teilnehmer interaktiv dabei und kannst dich im Anschluss auch noch mit anderen Teilnehmern über das gesehene austauschen und vernetzen. 
Stadtgestaltung;Maxplatz - neues Leben für die Steinwüste ;Den Maxplatz als Eventfläche in der jetzigen Form abschaffen und als Lebensraum zurückgewinnen. ;Der Maxplatz als zentraler Ort im Herzen Bambergs ist eine unwirtliche, im Sommer unerträglich heiße Steinwüste. Die Nutzung als Eventfläche an wenigen Tagen im Jahr verhindert eine lebenswerte Gestaltung des Platzes in der übrigen Zeit. Unser Vorschlag: Ein Flachbrunnen mit Düsen im (herunterskalierten, also nicht originalen) Umriss der ehemaligen St. Martins-Kirche, die einst auf dem Maxplatz stand, sorgt für Abkühlung der Fläche. Eine Änderung des strengen, schachbrettartigen Pflasterbelags würde für Fußgänger einladender wirken. Die Abgänge zur Tiefgarage könnten verschönert werden. An den Rändern des Platzes wäre (wegen der darunterliegenden Tiefgarage) zwischen Rathaus und Tiefgarage eine Bepflanzung möglich. Pflanzkübel mit Bäumen als Schattenspender und Sitzbänke, die sich flexibel versetzen ließen, wären nur zwei Beispiele für die vielen Möglichkeiten. Eine Änderung der Beleuchtung sollte ebenfalls denkbar sein. Auch Events können auf dem Platz weiterhin stattfinden – in kleinerer und angenehmerer Form als die jetzigen Massenveranstaltungen.
Mobilität;Sieben Zebras für die Lange Straße;Die Lange Straße ist eine von Fußgängern viel besuchte Straße mit Geschäften, Cafes und Gaststätten. Auf 400 Metern gibt es nur zwei Möglichkeiten, die Straße sicher zu überqueren: an der Ampel am Schönleinsplatz und am Obstmarkt/Untere Brücke. ;In der Langen Straße alle 50 Meter einen Zebrastreifen anlegen, vom Schönleinsplatz bis zur Unteren Brücke (oder verlängert Hasengasse). Die Fußgängerampeln am Grünen Markt/Untere Brücke abbauen. Vom Schönleinsplatz bis zur Unteren Brücke (oder auch verlängert bis zur Hasengasse) würden sieben bis neun Zebrastreifen den Fußgängern als sichere Querungshilfen zur Verfügung stehen. Für den Straßenverkehr ist jetzt bereits Tempo 20 km/h vorgeschrieben, auch abends erzwingen die vielen Fußgängerüberwege langsames Fahren. Die Zebrastreifen ließen sich kostengünstig umsetzen, der Abbau der Ampeln spart Betriebskosten und Energie. 
Stadtgestaltung;Grünes Weltkulturerbe: Die Stadt und ihre Dächer begrünen;Wenn es im Sommer tagelang heiß bleibt, glüht die Stadt mit ihren steinernen Plätzen und Bauten. ;Um das Mikroklima in der Innenstadt mit ihren knappen Flächen zu verbessern, wäre eine Begrünung von Flach- und Garagendächern sowie die Neupflanzung von Bäumen sinnvoll. Ein „500 Dächer“-Programm der Stadt Bamberg für eine nachträgliche Begrünung von Flach- und Garagendächern in der Innenstadt mit dafür geeigneten Pflanzen. Dazu wären auch Informationen für Interessenten nötig, wie eine solche Begrünung gelingen kann, die beispielsweise die Bamberger Gärtner übernehmen könnten. Als zweiter Schritt wäre eine Überprüfung städtischer Gebäude auf Möglichkeiten einer Fassadenbegrünung denkbar. Das Bürgerrathaus am ZOB wäre unserer Meinung nach als Leuchtturmprojekt „Grünes Rathaus“ für eine Fassadenbegrünung gut geeignet. Auch weitere Begrünungsmaßnahmen unterstützt der Bürgerverein Bamberg Mitte, wie die Pflanzung großer Bäume zur Beschattung steinernen Flächen.
Stadtgestaltung;50 Fontänen zum Abkühlen;Viele einfache Fontänen-Brunnen aus Bodendüsen, über die Innenstadt verteilt, kühlen an heißen Sommertagen mit ihren Wasserstrahlen Menschen und Flächen und verbessern das Mikroklima. ;Wasser heißt Leben: Im Sommer lechzen nicht nur die Touristen, sondern auch die Bewohner der Stadt nach kühlendem Nass. Einfache Fontänen-Brunnen zum Abkühlen von Menschen und Flächen wären eine günstige und machbare Lösung. Über die Innenstadt verteilt, mit Bodendüsen, würden an heißen Tagen viele zwei Meter hohe Wasserfontänen aus dem Boden sprudeln und durch die Verdunstungskälte des Wassers das Mikroklima verbessern. Die Fontänen würden auch für eine Verteilung der Touristenströme in der Innenstadt sorgen, da die Aufenthaltsqualität an Orten mit Fontänen steigen würde. Eine Installation an geeigneten Orten entlang der städtischen Haupt- und Nebenwasserleitungen würde Kosten sparen. Die Baukosten für einzelne Fontänen könnten Sponsoren übernehmen. Und vielleicht würden die Bamberger Fontänen wie die Freiburger Bächle zu einem zusätzlichen Wahrzeichen der Stadt werden.
Verwaltung;Bamberg Coins - Regionalen und nachhaltigen Konsum fördern;Unterstützung des Bamberger Einzelhandels und nachhaltiges kommunales Engagement;"Ein Belohnungssystem für:
Beteiligung am öffentlichen Leben
Konsum im Bamberger Einzelhandel
Nachhaltiges Konsumverhalten
Nutzung des ÖPNV
Nutzen von Kulturangeboten in Bamberg
etc.

Bamberg Coins lassen sich im Bamberger Einzelhandel einlösen (Beispiel: Ein Kaffe im Café in der Austraße für 3€ bringt 30 BC = Bamberg Coins. Besitzt man 300 BCs=10 Kaffee, lassen diese sich für einen gratis Kaffee einsetzen oder aber 3€ Rabatt auf ein anderes Produkt des Cafés, aber auch jedes anderen Cafés und Einzelhandels in Bamberg)
Der Einzelhandel kann die Bambergcoins mit der Stadt Bamberg abrechnen, die durch steigenden regionalen Konsum und die daraus resultierenden steigenden Steuereinnahmen die Mittel besitzt.
Jeder einzelne Bürger ist also motivierter, regional einzukaufen, mal den Bus statt dem Auto zu nutzen oder aber ins Kino zu gehen statt den Film zuhause zu sehen - er sammelt schließlich Bamberg Coins als Payback, die er direkt beim nächsten Mal in der Stadt ausgeben kann.
Bamberg Coins könnten sich nicht nur beim Einkaufen verdienen lassen, sondern auch bei öffentlichen Aktionen (""50 Bamberg Coins für Mithilfe beim Aufforstungsprojekt im Steigerwald"" o.Ä.)
Bamberg Coins kann man auf einer dafür vorgesehenen App sammeln und die Coins nach Einscannen eines QR Codes auf einer Rechnung (zB vom Café) darauf überwiesen bekommen.

Die genannten Beispiele sind hier nicht durchgerechnet worden, sondern sollen nur den Grundgedanken der Idee aufzeigen."
